Date,American,Carmel,Dial 7,Diplo,Firstclass,Highclass,Prestige,Skyline,Lyft,Uber,Yellow Taxis,Green Taxis
01-Jul-14,921,"2,871","2,233","1,046","1,744","1,368","3,345","1,668",0,"21,228","440,655","38,167"
02-Jul-14,"1,028","2,965","2,409","1,275","2,228","1,661","3,533","1,691",0,"26,480","434,416","42,472"
03-Jul-14,"1,068","3,361","2,520","1,200","2,121","1,599","3,649","1,157",0,"21,597","412,980","46,046"
04-Jul-14,"1,008","2,174","1,955","1,171","1,459","1,622","3,401",337,0,"14,148","306,773","41,535"
05-Jul-14,"1,214","1,846","1,371","1,371","1,703","1,898","4,081",276,0,"10,890","305,653","46,873"
06-Jul-14,"1,048","2,480","1,872","1,251","1,501","1,738","3,545",401,0,"11,443","310,376","40,354"
07-Jul-14,893,"3,028","2,213","1,009","1,768","1,457","3,284","1,330",0,"18,280","374,578","34,130"
08-Jul-14,916,"2,706","2,073","1,065","1,815","1,387","3,171","1,634",0,"25,763","430,482","35,756"
09-Jul-14,841,"2,883","2,209",987,"1,827","1,342","3,176","1,897",0,"27,817","443,822","36,503"
10-Jul-14,823,"3,222","2,425",904,"1,746","1,367","3,081","2,047",0,"30,541","451,208","39,051"
11-Jul-14,"1,067","2,906","2,282","1,128","2,085","1,672","3,758","1,440",0,"28,752","453,967","45,383"
12-Jul-14,"1,284","2,182","1,621","1,395","1,972","1,968","4,128",511,0,"25,936","442,979","54,366"
13-Jul-14,"1,060","2,412","1,884","1,249","1,655","1,750","3,902",493,0,"21,082","406,279","46,076"
14-Jul-14,900,"3,117","2,294","1,080","1,911","1,636","3,495","1,734",0,"27,350","412,054","37,143"
15-Jul-14,959,"2,991","2,327","1,079","1,903","1,473","3,355","2,012",0,"33,845","432,325","38,249"
16-Jul-14,907,"3,111","2,467",961,"1,800","1,386","3,059","2,109",0,"28,607","444,308","36,451"
17-Jul-14,944,"3,317","2,628",887,"1,811","1,325","3,206","1,987",0,"30,710","451,940","39,713"
18-Jul-14,"1,077","2,960","2,418","1,162","1,916","1,594","3,639","1,355",0,"29,860","455,255","46,130"
19-Jul-14,"1,246","2,138","1,606","1,273","1,866","1,786","3,959",475,0,"25,726","441,026","52,666"
20-Jul-14,"1,122","2,360","1,917","1,225","1,712","1,797","3,760",482,0,"21,212","394,270","45,355"
21-Jul-14,839,"3,077","2,254",937,"1,781","1,391","3,020","1,591",0,"23,578","394,920","33,042"
22-Jul-14,778,"2,882","2,088",932,"1,873","1,377","2,892","1,798",0,"29,029","442,945","35,203"
23-Jul-14,893,"3,097","2,458",929,"1,926","1,379","3,041","2,083",0,"34,073","461,755","38,839"
24-Jul-14,850,"3,345","2,616",913,"1,740","1,315","2,892","1,987",0,"32,050","456,722","38,704"
25-Jul-14,"1,084","3,112","2,397","1,115","2,035","1,646","3,562","1,449",40,"29,975","456,674","44,431"
26-Jul-14,"1,188","2,208","1,731","1,324","1,846","1,785","3,902",463,468,"27,708","444,333","53,004"
27-Jul-14,"1,082","2,320","1,780","1,269","1,675","1,738","3,882",525,623,"22,590","399,454","46,195"
28-Jul-14,828,"3,056","2,201",961,"1,860","1,457","3,119","1,651",418,"23,981","364,335","29,186"
29-Jul-14,782,"2,835","2,142",872,"1,699","1,400","2,962","1,837",671,"27,589","418,579","32,944"
30-Jul-14,825,"2,853","2,230",910,"1,744","1,358","2,923","1,896",884,"30,740","437,032","36,869"
31-Jul-14,873,"3,287","2,455",929,"1,871","1,457","3,094","1,961","1,150","33,541","447,939","41,471"
01-Aug-14,"1,213","2,947","2,383","1,218","2,046","1,937","3,801","1,359","1,506","32,353","448,577","49,955"
02-Aug-14,"1,328","2,257","1,653","1,343","1,919","2,005","4,297",489,"2,111","28,678","436,246","56,609"
