"Date_Time",Rides
"09/01/14 00:00",471
"09/01/14 01:00",316
"09/01/14 02:00",242
"09/01/14 03:00",224
"09/01/14 04:00",175
"09/01/14 05:00",194
"09/01/14 06:00",205
"09/01/14 07:00",280
"09/01/14 08:00",359
"09/01/14 09:00",479
"09/01/14 10:00",576
"09/01/14 11:00",649
"09/01/14 12:00",678
"09/01/14 13:00",741
"09/01/14 14:00",794
"09/01/14 15:00",869
"09/01/14 16:00",987
"09/01/14 17:00",882
"09/01/14 18:00",825
"09/01/14 19:00",837
"09/01/14 20:00",811
"09/01/14 21:00",714
"09/01/14 22:00",557
"09/01/14 23:00",339
"09/02/14 00:00",133
"09/02/14 01:00",72
"09/02/14 02:00",55
"09/02/14 03:00",205
"09/02/14 04:00",355
"09/02/14 05:00",575
"09/02/14 06:00",857
"09/02/14 07:00",1080
"09/02/14 08:00",1157
"09/02/14 09:00",859
"09/02/14 10:00",797
"09/02/14 11:00",775
"09/02/14 12:00",833
"09/02/14 13:00",878
"09/02/14 14:00",946
"09/02/14 15:00",1171
"09/02/14 16:00",1417
"09/02/14 17:00",1487
"09/02/14 18:00",1385
"09/02/14 19:00",1237
"09/02/14 20:00",1210
"09/02/14 21:00",1042
"09/02/14 22:00",781
"09/02/14 23:00",493
"09/03/14 00:00",176
"09/03/14 01:00",96
"09/03/14 02:00",74
"09/03/14 03:00",147
"09/03/14 04:00",219
"09/03/14 05:00",490
"09/03/14 06:00",913
"09/03/14 07:00",1104
"09/03/14 08:00",1113
"09/03/14 09:00",912
"09/03/14 10:00",793
"09/03/14 11:00",778
"09/03/14 12:00",824
"09/03/14 13:00",915
"09/03/14 14:00",1118
"09/03/14 15:00",1421
"09/03/14 16:00",1631
"09/03/14 17:00",1713
"09/03/14 18:00",1675
"09/03/14 19:00",1532
"09/03/14 20:00",1546
"09/03/14 21:00",1388
"09/03/14 22:00",1139
"09/03/14 23:00",665
"09/04/14 00:00",343
"09/04/14 01:00",179
"09/04/14 02:00",111
"09/04/14 03:00",161
"09/04/14 04:00",256
"09/04/14 05:00",519
"09/04/14 06:00",915
"09/04/14 07:00",1141
"09/04/14 08:00",1149
"09/04/14 09:00",954
"09/04/14 10:00",905
"09/04/14 11:00",955
"09/04/14 12:00",989
"09/04/14 13:00",1071
"09/04/14 14:00",1298
"09/04/14 15:00",1611
"09/04/14 16:00",1689
"09/04/14 17:00",1876
"09/04/14 18:00",2164
"09/04/14 19:00",1911
"09/04/14 20:00",1829
"09/04/14 21:00",1672
"09/04/14 22:00",1427
"09/04/14 23:00",985
"09/05/14 00:00",428
"09/05/14 01:00",228
"09/05/14 02:00",144
"09/05/14 03:00",206
"09/05/14 04:00",284
"09/05/14 05:00",544
"09/05/14 06:00",865
"09/05/14 07:00",1088
"09/05/14 08:00",1204
"09/05/14 09:00",1022
"09/05/14 10:00",965
"09/05/14 11:00",923
"09/05/14 12:00",950
"09/05/14 13:00",1129
"09/05/14 14:00",1416
"09/05/14 15:00",1574
"09/05/14 16:00",1812
"09/05/14 17:00",2044
"09/05/14 18:00",2146
"09/05/14 19:00",2119
"09/05/14 20:00",1867
"09/05/14 21:00",1884
"09/05/14 22:00",1879
"09/05/14 23:00",1595
"09/06/14 00:00",1127
"09/06/14 01:00",744
"09/06/14 02:00",467
"09/06/14 03:00",310
"09/06/14 04:00",214
"09/06/14 05:00",225
"09/06/14 06:00",359
"09/06/14 07:00",471
"09/06/14 08:00",640
"09/06/14 09:00",708
"09/06/14 10:00",837
"09/06/14 11:00",993
"09/06/14 12:00",1053
"09/06/14 13:00",1227
"09/06/14 14:00",1414
"09/06/14 15:00",1615
"09/06/14 16:00",1723
"09/06/14 17:00",1865
"09/06/14 18:00",1909
"09/06/14 19:00",1827
"09/06/14 20:00",1630
"09/06/14 21:00",1838
"09/06/14 22:00",2047
"09/06/14 23:00",1758
"09/07/14 00:00",1203
"09/07/14 01:00",837
"09/07/14 02:00",557
"09/07/14 03:00",392
"09/07/14 04:00",224
"09/07/14 05:00",260
"09/07/14 06:00",260
"09/07/14 07:00",369
"09/07/14 08:00",543
"09/07/14 09:00",686
"09/07/14 10:00",841
"09/07/14 11:00",940
"09/07/14 12:00",985
"09/07/14 13:00",1074
"09/07/14 14:00",1158
"09/07/14 15:00",1264
"09/07/14 16:00",1401
"09/07/14 17:00",1348
"09/07/14 18:00",1268
"09/07/14 19:00",1112
"09/07/14 20:00",1058
"09/07/14 21:00",937
"09/07/14 22:00",761
"09/07/14 23:00",407
