"Date_Time",Rides
"09/01/14 06:00",0
"09/01/14 06:01",2
"09/01/14 06:02",3
"09/01/14 06:03",1
"09/01/14 06:04",6
"09/01/14 06:05",3
"09/01/14 06:06",3
"09/01/14 06:07",3
"09/01/14 06:08",5
"09/01/14 06:09",0
"09/01/14 06:10",1
"09/01/14 06:11",5
"09/01/14 06:12",2
"09/01/14 06:13",0
"09/01/14 06:14",6
"09/01/14 06:15",3
"09/01/14 06:16",2
"09/01/14 06:17",1
"09/01/14 06:18",4
"09/01/14 06:19",5
"09/01/14 06:20",4
"09/01/14 06:21",4
"09/01/14 06:22",5
"09/01/14 06:23",1
"09/01/14 06:24",4
"09/01/14 06:25",1
"09/01/14 06:26",2
"09/01/14 06:27",6
"09/01/14 06:28",2
"09/01/14 06:29",3
"09/01/14 06:30",3
"09/01/14 06:31",4
"09/01/14 06:32",3
"09/01/14 06:33",3
"09/01/14 06:34",5
"09/01/14 06:35",5
"09/01/14 06:36",4
"09/01/14 06:37",1
"09/01/14 06:38",5
"09/01/14 06:39",3
"09/01/14 06:40",3
"09/01/14 06:41",7
"09/01/14 06:42",6
"09/01/14 06:43",3
"09/01/14 06:44",1
"09/01/14 06:45",2
"09/01/14 06:46",4
"09/01/14 06:47",3
"09/01/14 06:48",5
"09/01/14 06:49",4
"09/01/14 06:50",2
"09/01/14 06:51",6
"09/01/14 06:52",2
"09/01/14 06:53",5
"09/01/14 06:54",2
"09/01/14 06:55",2
"09/01/14 06:56",10
"09/01/14 06:57",3
"09/01/14 06:58",5
"09/01/14 06:59",7
"09/01/14 07:00",5
"09/01/14 07:01",4
"09/01/14 07:02",5
"09/01/14 07:03",1
"09/01/14 07:04",2
"09/01/14 07:05",4
"09/01/14 07:06",6
"09/01/14 07:07",4
"09/01/14 07:08",2
"09/01/14 07:09",4
"09/01/14 07:10",3
"09/01/14 07:11",3
"09/01/14 07:12",7
"09/01/14 07:13",7
"09/01/14 07:14",1
"09/01/14 07:15",6
"09/01/14 07:16",1
"09/01/14 07:17",5
"09/01/14 07:18",4
"09/01/14 07:19",4
"09/01/14 07:20",4
"09/01/14 07:21",7
"09/01/14 07:22",7
"09/01/14 07:23",2
"09/01/14 07:24",6
"09/01/14 07:25",6
"09/01/14 07:26",4
"09/01/14 07:27",1
"09/01/14 07:28",8
"09/01/14 07:29",7
"09/01/14 07:30",3
"09/01/14 07:31",6
"09/01/14 07:32",4
"09/01/14 07:33",10
"09/01/14 07:34",10
"09/01/14 07:35",2
"09/01/14 07:36",4
"09/01/14 07:37",7
"09/01/14 07:38",7
"09/01/14 07:39",2
"09/01/14 07:40",6
"09/01/14 07:41",5
"09/01/14 07:42",4
"09/01/14 07:43",5
"09/01/14 07:44",3
"09/01/14 07:45",3
"09/01/14 07:46",6
"09/01/14 07:47",9
"09/01/14 07:48",2
"09/01/14 07:49",6
"09/01/14 07:50",7
"09/01/14 07:51",2
"09/01/14 07:52",4
"09/01/14 07:53",5
"09/01/14 07:54",3
"09/01/14 07:55",6
"09/01/14 07:56",3
"09/01/14 07:57",3
"09/01/14 07:58",10
"09/01/14 07:59",3
"09/01/14 08:00",6
"09/01/14 08:01",7
"09/01/14 08:02",3
"09/01/14 08:03",3
"09/01/14 08:04",3
"09/01/14 08:05",4
"09/01/14 08:06",2
"09/01/14 08:07",3
"09/01/14 08:08",6
"09/01/14 08:09",10
"09/01/14 08:10",5
"09/01/14 08:11",4
"09/01/14 08:12",3
"09/01/14 08:13",6
"09/01/14 08:14",4
"09/01/14 08:15",4
"09/01/14 08:16",0
"09/01/14 08:17",6
"09/01/14 08:18",8
"09/01/14 08:19",12
"09/01/14 08:20",3
"09/01/14 08:21",8
"09/01/14 08:22",9
"09/01/14 08:23",7
"09/01/14 08:24",6
"09/01/14 08:25",3
"09/01/14 08:26",7
"09/01/14 08:27",4
"09/01/14 08:28",7
"09/01/14 08:29",5
"09/01/14 08:30",9
"09/01/14 08:31",7
"09/01/14 08:32",5
"09/01/14 08:33",4
"09/01/14 08:34",8
"09/01/14 08:35",5
"09/01/14 08:36",3
"09/01/14 08:37",7
"09/01/14 08:38",8
"09/01/14 08:39",8
"09/01/14 08:40",7
"09/01/14 08:41",11
"09/01/14 08:42",6
"09/01/14 08:43",5
"09/01/14 08:44",12
"09/01/14 08:45",8
"09/01/14 08:46",7
"09/01/14 08:47",7
"09/01/14 08:48",7
"09/01/14 08:49",1
"09/01/14 08:50",4
"09/01/14 08:51",6
"09/01/14 08:52",9
"09/01/14 08:53",6
"09/01/14 08:54",8
"09/01/14 08:55",6
"09/01/14 08:56",4
"09/01/14 08:57",10
"09/01/14 08:58",7
"09/01/14 08:59",6
"09/01/14 09:00",8
"09/01/14 09:01",5
"09/01/14 09:02",9
"09/01/14 09:03",15
"09/01/14 09:04",4
"09/01/14 09:05",8
"09/01/14 09:06",6
"09/01/14 09:07",5
"09/01/14 09:08",5
"09/01/14 09:09",8
"09/01/14 09:10",5
"09/01/14 09:11",6
"09/01/14 09:12",11
"09/01/14 09:13",11
"09/01/14 09:14",8
"09/01/14 09:15",4
"09/01/14 09:16",6
"09/01/14 09:17",11
"09/01/14 09:18",11
"09/01/14 09:19",7
"09/01/14 09:20",5
"09/01/14 09:21",11
"09/01/14 09:22",10
"09/01/14 09:23",13
"09/01/14 09:24",9
"09/01/14 09:25",10
"09/01/14 09:26",8
"09/01/14 09:27",7
"09/01/14 09:28",5
"09/01/14 09:29",12
"09/01/14 09:30",12
"09/01/14 09:31",7
"09/01/14 09:32",4
"09/01/14 09:33",7
"09/01/14 09:34",6
"09/01/14 09:35",10
"09/01/14 09:36",3
"09/01/14 09:37",10
"09/01/14 09:38",6
"09/01/14 09:39",7
"09/01/14 09:40",5
"09/01/14 09:41",4
"09/01/14 09:42",10
"09/01/14 09:43",10
"09/01/14 09:44",9
"09/01/14 09:45",3
"09/01/14 09:46",3
"09/01/14 09:47",8
"09/01/14 09:48",9
"09/01/14 09:49",10
"09/01/14 09:50",7
"09/01/14 09:51",16
"09/01/14 09:52",14
"09/01/14 09:53",12
"09/01/14 09:54",8
